"years","SampleSizes","Itot","sq","lambda","fitnesstrait","family","Mass","BL","TL"
2006,183,4.88303116971749,0.0667668792593531,1.05464480874317,"FitnessTot","poisson",0.0750149136750809,NA,0.20348828801824
2007,193,26.7518092356492,0.073857440822616,0.72020725388601,"FitnessTot","poisson",0.794900516726303,0.55698121596646,-0.112236245300823
2008,139,2.49555417273688,0.0726991374488311,1.1726618705036,"FitnessTot","poisson",0.425818547134568,0.00211006980674724,-0.0418943476691923
2009,163,6.04929807588177,0.0360208142183049,0.803680981595092,"FitnessTot","poisson",0.135692659391115,-0.0198625267808123,0.070201050225641
2010,131,219.351723922921,0.0232132120847058,0.427480916030534,"FitnessTot","poisson",1.05393258013113,0.646233473619907,1.05178979630466
2011,56,42.5802980665798,0.0360377333277833,1.17857142857143,"FitnessTot","poisson",0.690371497139344,0.0828059567264622,0.0460192390753785
2012,66,2.13407964857326,0.0451086859404797,1.75757575757576,"FitnessTot","poisson",0.345540187486714,0.133818639764848,0.000704071046841428
2013,116,3.01871182133019,0.038731423042475,1.12068965517241,"FitnessTot","poisson",0.0828914509479365,-0.0781411415554839,0.153217934882247
2014,130,17.1687415278847,0.0413693961896667,0.907692307692308,"FitnessTot","poisson",-0.130982110003394,0.781155739547203,0.0844544563040279
2015,118,56.1641229375885,0.0799334471394584,1.08474576271186,"FitnessTot","poisson",1.82991425729196,0.795014109023617,-0.178264787641047
